target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
214, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
215, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
216, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
217, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
218, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
219, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
220, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
221, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
222, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
223, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
224, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
225, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
226, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
227, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
228, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
229, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
230, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
231, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
232, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
233, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
234, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
235, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
236, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
237, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
238, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
239, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
240, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
241, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
242, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
243, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
244, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
245, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
246, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
247, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
248, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
249, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
250, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
251, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
252, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
